鄉鎮市區,交易標的,土地區段位置／建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,單價(元／平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
北區,建物,竹光路1～30號,0,,,,10408,建物1,四層,14,套房,住家用，共同使用部份,鋼筋混凝土造,8602,1房,1廳,1衛,有隔間,有管理組織,7500,712,,0,0,無
東區,建物,中華路二段181～210號,0,,,,10408,建物1,十四層,18,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10206,3房,2廳,2衛,有隔間,有管理組織,45000,860,,0,0,含管理費。
東區,建物,民生路151～180號,0,,,,10409,建物1,二層,12,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8601,4房,1廳,2衛,有隔間,有管理組織,18750,587,,0,0,無
東區,建物,中央路151～180號,0,,,,10408,建物1,二十三層,29,住宅大樓,見其他登記事項,鋼筋混凝土造,9611,3房,2廳,2衛,有隔間,有管理組織,36000,789,,0,0,無
東區,建物,慈雲路250巷33弄31～60號,0,,,,10408,建物1,見其他登記事項,1,農舍,農舍,鋼筋混凝土造,8309,,,,無隔間,無管理組織,33333,1489,,0,0,含租賃所得稅及二代健保
東區,建物,明湖路1050巷211～240號,0,,山坡地保育區,,10408,建物1,二層,5,華廈,住家用，共同使用部份,鋼筋混凝土造,8605,3房,2廳,2衛,有隔間,無管理組織,12000,364,,0,0,無
北區,建物,四維路89巷1～30號,0,,,,10409,建物1,八層,12,住宅大樓,住家用，見其他登記事項,鋼筋混凝土造,8703,3房,2廳,2衛,有隔間,有管理組織,16500,377,,0,0,無
東區,建物,東區立鵬路91～120號,0,,,,10409,建物1,一層,14,店面,見其他登記事項,鋼筋混凝土造,9810,2房,,3衛,有隔間,有管理組織,50000,931,,0,0,無
東區,建物,關新路61～90號,0,,,,10409,建物1,一層,23,店面,見其他登記事項,鋼筋混凝土造,10310,,,,無隔間,有管理組織,230000,3457,,0,0,無
東區,地+建,南大路61～90號,43.65,住43.65,,,10408,土地1建物1,見其他登記事項,3,透天厝,見其他登記事項，共同使用部份,鋼筋混凝土造,10306,5房,3廳,4衛,有隔間,無管理組織,50000,766,,0,0,無
北區,建物,四維路61～90號,0,,,,10409,建物1,十二層,12,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8505,3房,2廳,2衛,有隔間,有管理組織,15306,473,,0,0,無
東區,建物,中央路151～180號,0,,,,10409,建物1,二十三層,29,住宅大樓,見其他登記事項,鋼筋混凝土造,9611,3房,2廳,2衛,有隔間,有管理組織,34000,719,,0,0,無
香山區,建物,中華路四段301～330號,0,,,,10408,建物1,五層,12,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8501,3房,2廳,2衛,有隔間,有管理組織,11000,327,,0,0,無
東區,地+建,高翠路210巷3弄1～30號,64.98,它64.98,,,10408,土地1建物1,見其他登記事項,2,透天厝,住家用,加強磚造,6806,4房,2廳,3衛,有隔間,無管理組織,15000,490,,0,0,無
北區,建物,延平路一段214巷34弄31～60號,0,,,,10408,建物1車位1,六層,6,華廈,住家用，共同使用部份,鋼筋混凝土造,8307,3房,2廳,2衛,有隔間,無管理組織,15000,372,坡道平面,0,0,含管理費1200
北區,建物,武陵西三路1～30號,0,,,,10408,建物1,一層,5,公寓,國民住宅,鋼筋混凝土造,7204,3房,2廳,2衛,有隔間,無管理組織,12000,513,,0,0,無
東區,建物,花園街31～60號,0,,,,10409,建物1,八層,12,套房,見其他登記事項,鋼筋混凝土造,,1房,,1衛,有隔間,有管理組織,7500,938,,0,0,"租金含管理費,第四台,網路"
